timer,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p1_rel_x,p1_rel_y,p1_facing_opponent,p1_health_diff,act_B,act_Y,act_X,act_A,act_L,act_R,act_Up,act_Down,act_Left,act_Right,act_Select,act_Start
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,267,192,0,0,0,0,-62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,268,192,0,0,0,0,-63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,270,192,0,0,0,0,-65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,271,192,0,0,0,0,-66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,272,192,0,0,0,0,-67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,272,192,0,0,0,0,-67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,273,192,0,0,0,0,-68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,274,192,0,0,0,0,-69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,275,192,0,0,0,0,-70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,276,192,0,0,0,0,-71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,277,192,0,0,0,0,-72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,277,192,0,0,0,0,-72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,205,192,0,0,0,0,6,176,278,192,0,0,0,0,-73,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,203,192,0,0,0,0,6,176,280,192,0,0,0,0,-77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,203,192,0,0,0,0,6,176,280,192,0,0,0,0,-77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,200,192,0,0,0,0,6,176,281,192,0,0,0,0,-81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,200,192,0,0,0,0,6,176,282,192,0,0,0,0,-82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,200,192,0,0,0,0,6,176,282,192,0,0,0,0,-82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,200,192,0,0,0,0,6,176,284,192,0,0,0,0,-84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,199,192,0,0,0,0,6,176,285,192,0,0,0,0,-86,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,199,192,0,0,0,0,6,176,285,192,0,0,0,0,-86,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,197,192,0,0,0,0,6,176,285,192,0,0,0,0,-88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,196,192,0,0,0,0,6,176,285,192,0,0,0,0,-89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,196,192,0,0,0,0,6,176,285,192,0,0,0,0,-89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,196,192,0,0,0,0,6,176,285,192,0,0,0,0,-89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,176,196,192,0,0,0,0,6,176,285,192,0,0,0,0,-89,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,194,192,0,0,0,0,6,176,285,192,0,0,0,0,-91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,194,192,0,0,0,0,6,176,285,192,0,0,0,0,-91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
151,3,176,193,192,0,0,0,0,6,176,285,192,0,0,0,0,-92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,191,192,0,0,0,0,6,176,285,192,0,0,0,0,-94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,191,192,0,0,0,0,6,176,285,192,0,0,0,0,-94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,191,192,0,0,0,0,6,176,285,192,0,0,0,0,-94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,191,192,0,0,0,0,6,176,285,192,0,0,0,0,-94,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,176,190,192,0,0,0,0,6,176,285,192,0,0,0,0,-95,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,176,190,192,0,0,0,0,6,176,285,192,0,0,0,0,-95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,189,192,0,0,0,0,6,176,285,192,0,0,0,0,-96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,189,192,0,0,0,0,6,176,285,192,0,0,0,0,-96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,189,192,0,0,0,0,6,176,285,192,0,0,0,0,-96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,189,192,0,0,0,0,6,176,285,192,0,0,0,0,-96,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,176,187,192,0,0,0,0,6,176,285,192,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,176,187,192,0,0,0,0,6,176,285,192,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,176,184,192,0,0,0,0,6,176,285,192,0,0,0,0,-101,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
